Timestamp,Market Open Interest,Daily Range,10 Day  Average Daily Range,10 Day Average MOI,Greater MOI,Greater DR
07-03-2017,193779,34,56.3,197718.2,0,0
06-03-2017,195038,26,54.9,196461.3,0,0
03-03-2017,196911,36,54.5,195919.1,1,0
02-03-2017,200036,52,51.7,195733.9,1,1
01-03-2017,207976,52,50.3,196725.3,1,1
28-02-2017,206022,50,48.5,197735.6,1,1
27-02-2017,208084,64,46,198562.2,1,1
24-02-2017,216376,45,46.4,200932.5,1,0
23-02-2017,216553,67,48.5,203265.1,1,1
22-02-2017,219881,49,47.5,206065.6,1,1
21-02-2017,217396,83,52.4,208427.3,1,1
20-02-2017,216390,55,55.3,210562.5,1,0
17-02-2017,211901,57,57.4,212061.5,0,0
16-02-2017,204926,61,58.3,212550.5,0,1
15-02-2017,201846,24,55.5,211937.5,0,0
14-02-2017,202853,47,55.2,211620.6,0,0
13-02-2017,199810,74,56.2,210793.2,0,1
10-02-2017,197457,67,58.4,208901.3,0,1
08-02-2017,196909,32,54.9,206936.9,0,0
07-02-2017,195341,37,53.7,204482.9,0,0
06-02-2017,195239,38,49.2,202267.2,0,0
03-02-2017,189910,27,46.4,199619.2,0,0
02-02-2017,192259,27,43.4,197655,0,0
31-01-2017,187773,23,39.6,195939.7,0,0
27-01-2017,200000,22,39.4,195755.1,1,0
26-01-2017,187614,35,38.2,194231.2,0,0
25-01-2017,186229,44,35.2,192873.1,0,1
24-01-2017,190376,50,33.5,192165,0,1
23-01-2017,191474,26,32.9,191621.5,0,0
20-01-2017,197215,35,32.7,191808.9,1,1
19-01-2017,201842,41,33,192469.2,1,1
18-01-2017,198445,34,33.7,193322.7,1,1
17-01-2017,198801,50,36,193976.9,1,1
16-01-2017,201435,49,38.6,195343.1,1,1
13-01-2017,197310,42,40.6,195074.1,1,1
12-01-2017,198011,30,40.1,196113.8,1,0
11-01-2017,203829,47,40.4,197873.8,1,1
10-01-2017,205305,64,41.8,199366.7,1,1
09-01-2017,203413,42,43.4,200560.6,1,0
06-01-2017,203797,72,47.1,201218.8,1,1
05-01-2017,201350,70,50,201169.6,1,1
04-01-2017,199704,23,48.9,201295.5,0,0
03-01-2017,202381,39,47.8,201653.5,1,0
30-12-2016,198648,33,46.2,201374.8,0,0
29-12-2016,199782,44,46.4,201622,0,0
28-12-2016,205324,32,46.6,202353.3,1,0
27-12-2016,201595,69,48.8,202129.9,0,1
23-12-2016,197124,48,47.2,201311.8,0,1
22-12-2016,196571,54,48.4,200627.6,0,1
21-12-2016,195493,49,46.1,199797.2,0,1
20-12-2016,197007,34,42.5,199362.9,0,0
19-12-2016,196741,63,46.5,199066.6,0,1
16-12-2016,195941,51,47.7,198422.6,0,1
15-12-2016,193247,62,50.6,197882.5,0,1
14-12-2016,190459,62,52.4,196950.2,0,1
13-12-2016,186756,51,54.3,195093.4,0,0
09-12-2016,183890,50,52.4,193322.9,0,0
08-12-2016,185733,21,49.7,192183.8,0,0
07-12-2016,184377,50,49.3,190964.4,0,1
06-12-2016,188074,80,52.4,190222.5,0,1
05-12-2016,188654,72,56.2,189387.2,0,1
02-12-2016,183114,37,53.6,188024.5,0,0
01-12-2016,188298,45,53,187260.2,1,0
30-11-2016,188301,66,53.4,186765.6,1,1
29-11-2016,188309,40,51.2,186550.6,1,0
28-11-2016,191286,47,50.8,187003.6,1,0
25-11-2016,192807,55,51.3,187895.3,1,1
24-11-2016,200918,115,60.7,189413.8,1,1
23-11-2016,196423,28,58.5,190618.4,1,0
22-11-2016,194269,25,53,191237.9,1,0
21-11-2016,194344,34,49.2,191806.9,1,0
18-11-2016,192146,33,48.8,192710.1,0,0
17-11-2016,195205,60,50.3,193400.8,1,1
16-11-2016,194093,53,49,193980,1,1
15-11-2016,195987,83,53.3,194747.8,1,1
14-11-2016,198438,93,57.9,195463,1,1
11-11-2016,211538,126,65,197336.1,1,1
10-11-2016,211243,93,62.8,198368.6,1,1
09-11-2016,210226,55,65.5,199748.9,1,0
08-11-2016,210022,98,72.8,201324.2,1,1
07-11-2016,200906,48,74.2,201980.4,0,0
04-11-2016,194324,42,75.1,202198.2,0,0
03-11-2016,196133,37,72.8,202291,0,0
02-11-2016,195186,52,72.7,202400.3,0,0
01-11-2016,198093,62,70.6,202610.9,0,0
31-10-2016,196733,31,64.4,202440.4,0,0
28-10-2016,196764,40,55.8,200963,0,0
27-10-2016,222418,55,52,202080.5,1,1
26-10-2016,200547,38,50.3,201112.6,0,0
25-10-2016,199068,66,47.1,200017.2,0,1
24-10-2016,198237,97,52,199750.3,0,1
21-10-2016,198570,44,52.2,200174.9,0,0
20-10-2016,198502,57,54.2,200411.8,0,1
19-10-2016,200928,45,53.5,200986,0,0
18-10-2016,195064,88,56.1,200683.1,0,1
17-10-2016,200591,46,57.6,201068.9,0,0
14-10-2016,195725,69,60.5,200965,0,1
13-10-2016,194905,53,60.3,198213.7,0,0
12-10-2016,193197,56,62.1,197478.7,0,0
11-10-2016,185093,55,61,196081.2,0,0
10-10-2016,183362,41,55.4,194593.7,0,0
07-10-2016,185010,50,56,193237.7,0,0
06-10-2016,189821,44,54.7,192369.6,0,0
05-10-2016,189489,56,55.8,191225.7,0,1
04-10-2016,185980,43,51.3,190317.3,0,0
30-09-2016,184552,40,50.7,188713.4,0,0
29-09-2016,187340,50,48.8,187874.9,0,1
28-09-2016,187310,80,51.5,187115.4,1,1
27-09-2016,190223,48,50.7,186818,1,0
26-09-2016,195744,47,49.9,187883.1,1,0
23-09-2016,191350,55,51.3,188681.9,1,1
22-09-2016,194320,71,53.4,189612.9,1,1
21-09-2016,191222,53,54.3,189753,1,0
20-09-2016,189957,48,53.5,189799.8,1,0
19-09-2016,193803,87,57.9,190582.1,1,1
15-09-2016,195884,57,59.6,191715.3,1,0
14-09-2016,191524,29,57.5,192133.7,0,0
13-09-2016,193003,56,55.1,192703,1,1
09-09-2016,205980,36,53.9,194278.7,1,0
08-09-2016,200512,35,52.7,194755.5,1,0
07-09-2016,204281,34,50.6,196048.6,1,0
06-09-2016,201252,34,46.9,196741.8,1,0
05-09-2016,198106,62,47.8,197430.2,1,1
02-09-2016,196563,60,49,198090.8,0,1
01-09-2016,194717,35,43.8,198182.2,0,0
30-08-2016,193002,28,40.9,197894,0,0
29-08-2016,192673,61,44.1,198008.9,0,1
26-08-2016,192280,44,42.9,197936.6,0,1
25-08-2016,190415,36,42.9,196380.1,0,0
24-08-2016,187978,39,43.3,195126.7,0,0
23-08-2016,187769,59,45.8,193475.5,0,1
22-08-2016,192141,76,50,192564.4,0,1
19-08-2016,191436,50,48.8,191897.4,0,1
18-08-2016,189125,74,50.2,191153.6,0,1
17-08-2016,193891,115,58.2,191071,1,1
16-08-2016,195873,54,60.8,191358.1,1,0
15-08-2016,203737,70,61.7,192464.5,1,1
12-08-2016,213648,76,64.9,194601.3,1,1
11-08-2016,211630,52,66.5,196722.8,1,0
10-08-2016,211477,75,70.1,199072.7,1,1
09-08-2016,210223,47,68.9,201318.1,1,0
08-08-2016,212962,39,65.2,203400.2,1,0
05-08-2016,214476,35,63.7,205704.2,1,0
04-08-2016,215492,56,61.9,208340.9,1,0
03-08-2016,217664,74,57.8,210718.2,1,1
02-08-2016,222447,45,56.9,213375.6,1,0
01-08-2016,220929,28,52.7,215094.8,1,0
29-07-2016,221223,25,47.6,215852.3,1,0
28-07-2016,224020,30,45.4,217091.3,1,0
27-07-2016,223159,50,42.9,218259.5,1,1
26-07-2016,224465,72,45.4,219683.7,1,1
25-07-2016,223140,47,46.2,220701.5,1,1
22-07-2016,221451,35,46.2,221399,1,0
21-07-2016,238649,32,43.8,223714.7,1,0
20-07-2016,238546,64,42.8,225802.9,1,1
19-07-2016,235625,52,43.5,227120.7,1,1
18-07-2016,233836,23,43,228411.4,1,0
15-07-2016,234796,75,48,229768.7,1,1
14-07-2016,233146,80,53,230681.3,1,1
13-07-2016,229358,31,51.1,231301.2,0,0
12-07-2016,247142,64,50.3,233568.9,1,1
11-07-2016,249103,42,49.8,236165.2,1,0
08-07-2016,251316,57,52,239151.7,1,1
05-07-2016,266962,33,52.1,241983,1,0
04-07-2016,249206,24,48.1,243049,1,0
01-07-2016,249799,45,47.4,244466.4,1,0
30-06-2016,250361,60,51.1,246118.9,1,1
29-06-2016,251363,48,48.4,247775.6,1,0
28-06-2016,248611,28,43.2,249322.1,0,0
27-06-2016,259764,53,45.4,252362.7,1,1
24-06-2016,254967,46,43.6,253145.2,1,1
23-06-2016,253964,66,46,253631.3,1,1
21-06-2016,246096,53,45.6,253109.3,0,1
20-06-2016,241458,58,48.1,250558.9,0,1
17-06-2016,237987,47,50.4,249437,0,0
16-06-2016,239625,27,48.6,248419.6,0,0
15-06-2016,253227,65,49.1,248706.2,1,1
14-06-2016,254621,40,48.3,249032,1,0
13-06-2016,259028,69,52.4,250073.7,1,1
10-06-2016,260454,29,50,250142.7,1,0
09-06-2016,261126,33,48.7,250758.6,1,0
08-06-2016,261069,32,45.3,251469.1,1,0
07-06-2016,263759,80,48,253235.4,1,1
06-06-2016,278181,23,44.5,256907.7,1,0
03-06-2016,276344,53,45.1,260743.4,1,1
02-06-2016,273506,24,44.8,264131.5,1,0
01-06-2016,273130,42,42.5,266121.8,1,0
31-05-2016,269845,43,42.8,267644.2,1,1
30-05-2016,267363,26,38.5,268477.7,0,0
27-05-2016,262777,43,39.9,268710,0,1
26-05-2016,278836,50,41.6,270481,1,1
25-05-2016,277648,70,45.4,272138.9,1,1
24-05-2016,276211,20,39.4,273384.1,1,0
23-05-2016,278979,31,40.2,273463.9,1,0
20-05-2016,277505,34,38.3,273580,1,0
19-05-2016,274855,59,41.8,273714.9,1,1
18-05-2016,276291,75,45.1,274031,1,1
17-05-2016,283779,24,43.2,275424.4,1,0
16-05-2016,283644,37,44.3,277052.5,1,0
13-05-2016,281110,27,42.7,278885.8,1,0
12-05-2016,279425,34,41.1,278944.7,1,0
11-05-2016,274322,44,38.5,278612.1,0,1
10-05-2016,268123,51,41.6,277803.3,0,1
09-05-2016,267868,18,40.3,276692.2,0,0
06-05-2016,267020,50,41.9,275643.7,0,1
05-05-2016,269586,34,39.4,275116.8,0,0
04-05-2016,283053,91,41,275793,1,1
03-05-2016,273955,39,42.5,274810.6,0,0
29-04-2016,269991,39,42.7,273445.3,0,0
28-04-2016,267950,35,43.5,272129.3,0,0
27-04-2016,268619,40,44.1,271048.7,0,0
26-04-2016,264962,29,42.6,270112.7,0,0
25-04-2016,261543,41,41.6,269454.7,0,0
22-04-2016,260224,39,43.7,268690.3,0,0
21-04-2016,260395,17,40.4,268027.8,0,0
20-04-2016,258811,25,39.5,266950.3,0,0
